orderid,userid,restaurantid,ordertype,deliveryaddress,deliverytime,deliverypersonid,notes,totalamount,orderdate
1054,167,397,Dostava,Random Address 11,2023-12-10 15:00:00,972,Napomena,16.00,2023-12-10 15:00:00
1055,168,397,Dostava,Random Address 12,2023-12-10 15:00:00,972,Napomena,16.00,2023-12-10 15:00:00
1056,169,397,Dostava,Random Address 13,2023-12-10 15:00:00,972,Napomena,16.00,2023-12-10 15:00:00
1057,170,397,Dostava,Random Address 14,2023-12-10 15:00:00,972,Napomena,16.00,2023-12-10 15:00:00
1058,171,397,Dostava,Random Address 15,2023-12-10 15:00:00,972,Napomena,16.00,2023-12-10 15:00:00
1059,172,397,Dostava,Random Address 16,2023-12-10 15:00:00,972,Napomena,16.00,2023-12-10 15:00:00
1060,173,397,Dostava,Random Address 17,2023-12-10 15:00:00,972,Napomena,16.00,2023-12-10 15:00:00
1061,174,397,Dostava,Random Address 18,2023-12-10 15:00:00,972,Napomena,16.00,2023-12-10 15:00:00
1062,175,397,Dostava,Random Address 19,2023-12-10 15:00:00,972,Napomena,16.00,2023-12-10 15:00:00
1063,176,397,Dostava,Random Address 20,2023-12-10 15:00:00,972,Napomena,16.00,2023-12-10 15:00:00
1064,167,397,Dostava,Random Address 21,2023-12-10 15:00:00,972,Napomena,20.00,2023-12-10 15:00:00
1065,168,397,Dostava,Random Address 22,2023-12-10 15:00:00,972,Napomena,20.00,2023-12-10 15:00:00
1066,169,397,Dostava,Random Address 23,2023-12-10 15:00:00,972,Napomena,20.00,2023-12-10 15:00:00
1067,170,397,Dostava,Random Address 24,2023-12-10 15:00:00,972,Napomena,20.00,2023-12-10 15:00:00
1068,171,397,Dostava,Random Address 25,2023-12-10 15:00:00,972,Napomena,20.00,2023-12-10 15:00:00
1069,172,397,Dostava,Random Address 26,2023-12-10 15:00:00,972,Napomena,20.00,2023-12-10 15:00:00
1070,173,397,Dostava,Random Address 27,2023-12-10 15:00:00,972,Napomena,20.00,2023-12-10 15:00:00
1071,174,397,Dostava,Random Address 28,2023-12-10 15:00:00,972,Napomena,20.00,2023-12-10 15:00:00
1072,175,397,Dostava,Random Address 29,2023-12-10 15:00:00,972,Napomena,20.00,2023-12-10 15:00:00
1073,176,397,Dostava,Random Address 30,2023-12-10 15:00:00,972,Napomena,20.00,2023-12-10 15:00:00
1074,167,397,Dostava,Random Address 31,2023-12-10 15:00:00,972,Napomena,49.00,2023-12-10 15:00:00
1075,168,397,Dostava,Random Address 32,2023-12-10 15:00:00,972,Napomena,49.00,2023-12-10 15:00:00
1076,169,397,Dostava,Random Address 33,2023-12-10 15:00:00,972,Napomena,49.00,2023-12-10 15:00:00
1077,170,397,Dostava,Random Address 34,2023-12-10 15:00:00,972,Napomena,49.00,2023-12-10 15:00:00
1078,171,397,Dostava,Random Address 35,2023-12-10 15:00:00,972,Napomena,49.00,2023-12-10 15:00:00
568,434,8,Dostava,790 Random Street,2023-12-25 13:06:00,972,Sample note for the order.,33.00,2023-12-25 11:06:00
595,383,10,Konzumacija u restoranu,75 Random Street,2023-12-22 13:06:00,972,Sample note for the order.,72.00,2023-12-22 11:06:00
600,175,7,Dostava,596 Random Street,2023-12-16 13:06:00,972,Sample note for the order.,168.00,2023-12-16 11:06:00
1079,172,397,Dostava,Random Address 36,2023-12-10 15:00:00,972,Napomena,49.00,2023-12-10 15:00:00
1080,173,397,Dostava,Random Address 37,2023-12-10 15:00:00,972,Napomena,49.00,2023-12-10 15:00:00
1081,174,397,Dostava,Random Address 38,2023-12-10 15:00:00,972,Napomena,49.00,2023-12-10 15:00:00
1082,175,397,Dostava,Random Address 39,2023-12-10 15:00:00,972,Napomena,49.00,2023-12-10 15:00:00
1083,176,397,Dostava,Random Address 40,2023-12-10 15:00:00,972,Napomena,49.00,2023-12-10 15:00:00
1084,167,397,Dostava,Random Address 41,2023-12-10 15:00:00,972,Napomena,50.00,2023-12-10 15:00:00
1085,168,397,Dostava,Random Address 42,2023-12-10 15:00:00,972,Napomena,50.00,2023-12-10 15:00:00
1086,169,397,Dostava,Random Address 43,2023-12-10 15:00:00,972,Napomena,50.00,2023-12-10 15:00:00
1087,170,397,Dostava,Random Address 44,2023-12-10 15:00:00,972,Napomena,50.00,2023-12-10 15:00:00
1088,171,397,Dostava,Random Address 45,2023-12-10 15:00:00,972,Napomena,50.00,2023-12-10 15:00:00
1089,172,397,Dostava,Random Address 46,2023-12-10 15:00:00,972,Napomena,50.00,2023-12-10 15:00:00
1090,173,397,Dostava,Random Address 47,2023-12-10 15:00:00,972,Napomena,50.00,2023-12-10 15:00:00
1091,174,397,Dostava,Random Address 48,2023-12-10 15:00:00,972,Napomena,50.00,2023-12-10 15:00:00
1092,175,397,Dostava,Random Address 49,2023-12-10 15:00:00,972,Napomena,50.00,2023-12-10 15:00:00
1093,176,397,Dostava,Random Address 50,2023-12-10 15:00:00,972,Napomena,50.00,2023-12-10 15:00:00
1094,167,397,Dostava,Random Address 51,2023-12-10 15:00:00,972,Napomena,6.00,2023-12-10 15:00:00
1095,168,397,Dostava,Random Address 52,2023-12-10 15:00:00,972,Napomena,6.00,2023-12-10 15:00:00
1096,169,397,Dostava,Random Address 53,2023-12-10 15:00:00,972,Napomena,6.00,2023-12-10 15:00:00
